"LOCATION","Country","TYPE_VAR","Type of indicator","VARIABLE","Indicator","WB","Current/Future Well-being","SEX","Sex","AGE","Age","EDUCATION","Education","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","AVERAGE","Average","1_1","Household income","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2004","2004",28476,,
"AUS","Australia","AVERAGE","Average","1_1","Household income","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",28730,,
"AUS","Australia","AVERAGE","Average","1_1","Household income","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",29777,,
"AUS","Australia","AVERAGE","Average","1_1","Household income","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",30911,,
"AUS","Australia","AVERAGE","Average","1_1","Household income","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",32475,,
"AUS","Australia","AVERAGE","Average","1_1","Household income","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",32205,,
"AUS","Australia","AVERAGE","Average","1_1","Household income","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",33505,,
"AUS","Australia","AVERAGE","Average","1_1","Household income","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",34050,,
"AUS","Australia","AVERAGE","Average","1_1","Household income","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",33617,,
"AUS","Australia","AVERAGE","Average","1_1","Household income","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",34011,,
"AUS","Australia","AVERAGE","Average","1_1","Household income","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",34468,,
"AUS","Australia","AVERAGE","Average","1_1","Household income","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",34472,,
"AUS","Australia","AVERAGE","Average","1_1","Household income","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",34746,,
"AUS","Australia","AVERAGE","Average","1_1","Household income","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",34994,,
"AUS","Australia","AVERAGE","Average","1_1","Household income","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",35452,,
"AUS","Australia","AVERAGE","Average","1_1","Household income","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",36485,,
"AUS","Australia","AVERAGE","Average","1_1","Household income","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2020","2020",37911,,
"AUS","Australia","AVERAGE","Average","1_1","Household income","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2021","2021",38722,,
"AUS","Australia","AVERAGE","Average","1_3","Household wealth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",262233,,
"AUS","Australia","AVERAGE","Average","1_3","Household wealth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",260012,,
"AUS","Australia","AVERAGE","Average","1_3","Household wealth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",278028,,
"AUS","Australia","AVERAGE","Average","2_1","Employment rate","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2004","2004",72.3970036733468,,
"AUS","Australia","AVERAGE","Average","2_1","Employment rate","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",73.6793930971702,,
"AUS","Australia","AVERAGE","Average","2_1","Employment rate","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",74.3088281786474,,
"AUS","Australia","AVERAGE","Average","2_1","Employment rate","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",75.0570211626963,,
"AUS","Australia","AVERAGE","Average","2_1","Employment rate","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",75.4751921200596,,
"AUS","Australia","AVERAGE","Average","2_1","Employment rate","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",74.8931085930575,,
"AUS","Australia","AVERAGE","Average","2_1","Employment rate","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",75.4443731560813,,
"AUS","Australia","AVERAGE","Average","2_1","Employment rate","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",75.7984935363803,,
"AUS","Australia","AVERAGE","Average","2_1","Employment rate","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",75.5894329057664,,
"AUS","Australia","AVERAGE","Average","2_1","Employment rate","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",75.3355302618129,,
"AUS","Australia","AVERAGE","Average","2_1","Employment rate","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",75.0496869422198,,
"AUS","Australia","AVERAGE","Average","2_1","Employment rate","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",75.580078642901,"B","Break"
"AUS","Australia","AVERAGE","Average","2_1","Employment rate","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",75.9270908761572,,
"AUS","Australia","AVERAGE","Average","2_1","Employment rate","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",76.5761735742224,,
